item_name,item_type,ingredients,common_allergens,risk_level
Peanut Butter,food,"peanuts, salt, oil","peanuts",high
Almond Milk,food,"almonds, water, calcium","tree nuts",high
Shrimp Curry,food,"shrimp, coconut milk, spices","shellfish",high
Cheese Pizza,food,"wheat flour, mozzarella, tomato, milk","gluten, dairy",high
Egg Salad,food,"eggs, mayonnaise, mustard","eggs",high
Soy Sauce,food,"soybeans, wheat, salt","soy, gluten",high
Walnut Brownie,food,"walnuts, flour, eggs, cocoa, butter","tree nuts, eggs, gluten, dairy",high
Lobster Bisque,food,"lobster, cream, butter, flour","shellfish, dairy, gluten",high
Milk Chocolate,food,"cocoa, milk, sugar, lecithin","dairy, soy",high
Wheat Bread,food,"wheat flour, yeast, salt, water","gluten",high
Ibuprofen,medicine,"ibuprofen, cellulose, cornstarch","nsaid",high
Penicillin,medicine,"penicillin G, sodium chloride","penicillin antibiotic",high
Aspirin,medicine,"acetylsalicylic acid, cellulose","salicylate",high
Amoxicillin,medicine,"amoxicillin trihydrate, gelatin","penicillin antibiotic",high
Latex Gloves,other,"natural rubber latex","latex",high
Sunflower Seed Butter,food,"sunflower seeds, salt, sugar","none",low
Oat Milk,food,"oats, water, rapeseed oil","oats",low
Rice Cakes,food,"brown rice, salt","none",low
Apple Juice,food,"apple, water, vitamin C","none",low
Chicken Breast,food,"chicken, salt","none",low
Coconut Water,food,"coconut water, natural flavor","none",low
Sweet Potato,food,"sweet potato","none",low
Blueberries,food,"blueberries","none",low
Olive Oil,food,"extra virgin olive oil","none",low
Quinoa,food,"quinoa, salt","none",low
Paracetamol,medicine,"acetaminophen, cellulose, starch","none",low
Vitamin C,medicine,"ascorbic acid, cellulose, citric acid","none",low
Antihistamine,medicine,"cetirizine hydrochloride, lactose","lactose",low
Melatonin,medicine,"melatonin, cellulose, magnesium stearate","none",low
Saline Nasal Spray,medicine,"sodium chloride, water","none",low
Peanut Noodles,food,"wheat noodles, peanut sauce, soy","peanuts, gluten, soy",high
Cashew Chicken,food,"cashews, chicken, soy sauce, wheat","tree nuts, soy, gluten",high
Prawn Toast,food,"prawns, bread, sesame, egg","shellfish, gluten, eggs, sesame",high
Fish and Chips,food,"fish, wheat flour, milk","fish, gluten, dairy",high
Caesar Salad,food,"romaine, croutons, egg, anchovy, parmesan","gluten, eggs, fish, dairy",high
Greek Yogurt,food,"milk, live cultures","dairy",high
Butter Chicken,food,"chicken, butter, cream, spices","dairy",high
Tiramisu,food,"eggs, mascarpone, coffee, ladyfingers","eggs, dairy, gluten",high
Miso Soup,food,"miso paste, tofu, seaweed, soy","soy",high
Sesame Crackers,food,"wheat flour, sesame seeds, salt","gluten, sesame",high
Codeine,medicine,"codeine phosphate, lactose, starch","opioid, lactose",medium
Sulfa Drug,medicine,"sulfamethoxazole, trimethoprim, lactose","sulfonamide",high
NSAIDs,medicine,"naproxen, cellulose, magnesium stearate","nsaid",medium
Latex-free Gloves,other,"nitrile rubber","none",low
Rice Pasta,food,"brown rice flour, water","none",low
Corn Tortilla,food,"corn flour, water, lime","none",low
Lentil Soup,food,"lentils, carrot, celery, onion, olive oil","none",low
Grilled Salmon,food,"salmon, lemon, herbs","fish",medium
Avocado Toast,food,"avocado, sourdough bread, lemon","gluten",medium
Hummus,food,"chickpeas, tahini, lemon, garlic","sesame",medium
Dark Chocolate,food,"cocoa, sugar, cocoa butter","may contain dairy",medium
Oatmeal,food,"rolled oats, water, salt","oats",medium
Almond Flour Cake,food,"almond flour, eggs, sugar, butter","tree nuts, eggs, dairy",high
Sushi,food,"rice, fish, nori, soy sauce, sesame","fish, soy, sesame",medium
Granola Bar,food,"oats, honey, nuts, seeds","gluten, tree nuts",medium
Turkey Sandwich,food,"turkey, wheat bread, mustard","gluten",medium
Stir Fry Vegetables,food,"broccoli, peppers, soy sauce, sesame oil","soy, sesame",medium
